text,label
The economy is showing signs of recovery. seriously,news
I mean like what are you doing really,spoken
I mean like what are you doing extremely,spoken
This is literally the best thing ever extremely,social
You know it's kinda weird actually,spoken
I mean like what are you doing extremely,spoken
This study examines syntactic variation in English.,academic
This is literally the best thing ever seriously,social
This is literally the best thing ever quite,social
I was just thinking about that actually,spoken
This is so bad ugh really,social
I can't believe this 😂,social
Scientists discovered a new species. actually,news
So happy right now!!! seriously,social
Scientists discovered a new species. extremely,news
This is literally the best thing ever honestly,social
This study examines syntactic variation in English. extremely,academic
I can't believe this 😂 really,social
The government announced new policies today. seriously,news
The methodology is based on linguistic theory. really,academic
The economy is showing signs of recovery. actually,news
OMG this is amazing!!!,social
Global markets reacted to the news. honestly,news
The president held a press conference. really,news
So happy right now!!! actually,social
Corpus analysis reveals significant patterns. honestly,academic
This is literally the best thing ever,social
This study examines syntactic variation in English. very,academic
The methodology is based on linguistic theory. really,academic
I can't believe this 😂 actually,social
OMG this is amazing!!! really,social
The methodology is based on linguistic theory.,academic
It's like super confusing extremely,spoken
This paper investigates discourse structures. extremely,academic
I was just thinking about that very,spoken
The findings suggest a correlation between variables. extremely,academic
The findings suggest a correlation between variables. very,academic
It's like super confusing extremely,spoken
Global markets reacted to the news. really,news
I mean like what are you doing very,spoken
The government announced new policies today. quite,news
It's like super confusing honestly,spoken
Global markets reacted to the news. really,news
The government announced new policies today.,news
The methodology is based on linguistic theory. extremely,academic
The president held a press conference.,news
Global markets reacted to the news. honestly,news
I can't believe this 😂 basically,social
You know it's kinda weird quite,spoken
So happy right now!!!,social
I mean like what are you doing seriously,spoken
This is literally the best thing ever basically,social
I was just thinking about that honestly,spoken
The president held a press conference. quite,news
The government announced new policies today. seriously,news
The findings suggest a correlation between variables. really,academic
The methodology is based on linguistic theory. basically,academic
Scientists discovered a new species.,news
This is literally the best thing ever honestly,social
I can't believe this 😂 very,social
Scientists discovered a new species. actually,news
The government announced new policies today. basically,news
The government announced new policies today. really,news
Global markets reacted to the news. seriously,news
So happy right now!!! honestly,social
Scientists discovered a new species. honestly,news
The economy is showing signs of recovery. honestly,news
Well I don't really know seriously,spoken
Corpus analysis reveals significant patterns. seriously,academic
The methodology is based on linguistic theory. extremely,academic
The economy is showing signs of recovery. actually,news
So happy right now!!! seriously,social
Corpus analysis reveals significant patterns. basically,academic
Global markets reacted to the news. seriously,news
Corpus analysis reveals significant patterns. really,academic
This paper investigates discourse structures. really,academic
The economy is showing signs of recovery. really,news
The methodology is based on linguistic theory. extremely,academic
Global markets reacted to the news. basically,news
This study examines syntactic variation in English. basically,academic
This is literally the best thing ever really,social
Well I don't really know honestly,spoken
I can't believe this 😂 actually,social
Scientists discovered a new species. very,news
OMG this is amazing!!! actually,social
The government announced new policies today. basically,news
This paper investigates discourse structures. basically,academic
The methodology is based on linguistic theory. really,academic
I mean like what are you doing really,spoken
OMG this is amazing!!! actually,social
This paper investigates discourse structures. actually,academic
Well I don't really know quite,spoken
This is literally the best thing ever quite,social
This is literally the best thing ever quite,social
I can't believe this 😂 really,social
This paper investigates discourse structures. really,academic
This study examines syntactic variation in English. basically,academic
I was just thinking about that really,spoken
It's like super confusing seriously,spoken
I mean like what are you doing actually,spoken
Scientists discovered a new species. basically,news
This is literally the best thing ever quite,social
Well I don't really know,spoken
It's like super confusing quite,spoken
Global markets reacted to the news.,news
So happy right now!!! honestly,social
It's like super confusing actually,spoken
So happy right now!!! honestly,social
This is literally the best thing ever seriously,social
The president held a press conference. seriously,news
Corpus analysis reveals significant patterns. actually,academic
The economy is showing signs of recovery. honestly,news
I was just thinking about that very,spoken
Corpus analysis reveals significant patterns. seriously,academic
The government announced new policies today. actually,news
It's like super confusing extremely,spoken
The methodology is based on linguistic theory.,academic
The president held a press conference. very,news
It's like super confusing very,spoken
OMG this is amazing!!! extremely,social
Global markets reacted to the news. very,news
OMG this is amazing!!! really,social
This paper investigates discourse structures. seriously,academic
The economy is showing signs of recovery. actually,news
The president held a press conference.,news
Scientists discovered a new species. seriously,news
The economy is showing signs of recovery. very,news
The government announced new policies today. seriously,news
This study examines syntactic variation in English. seriously,academic
I was just thinking about that basically,spoken
The economy is showing signs of recovery. quite,news
It's like super confusing,spoken
Global markets reacted to the news. very,news
So happy right now!!! basically,social
So happy right now!!! really,social
OMG this is amazing!!! basically,social
Corpus analysis reveals significant patterns. extremely,academic
It's like super confusing basically,spoken
The economy is showing signs of recovery. actually,news
I mean like what are you doing,spoken
So happy right now!!! extremely,social
Global markets reacted to the news. quite,news
Corpus analysis reveals significant patterns. honestly,academic
I mean like what are you doing seriously,spoken
You know it's kinda weird actually,spoken
This is literally the best thing ever very,social
This is literally the best thing ever honestly,social
The president held a press conference. very,news
Corpus analysis reveals significant patterns. extremely,academic
The economy is showing signs of recovery. quite,news
The president held a press conference. very,news
It's like super confusing seriously,spoken
The economy is showing signs of recovery. honestly,news
The president held a press conference. quite,news
I was just thinking about that honestly,spoken
You know it's kinda weird quite,spoken
This paper investigates discourse structures.,academic
I mean like what are you doing,spoken
So happy right now!!!,social
I was just thinking about that,spoken
The government announced new policies today. basically,news
This is so bad ugh very,social
You know it's kinda weird honestly,spoken
Corpus analysis reveals significant patterns.,academic
The president held a press conference.,news
It's like super confusing,spoken
This is so bad ugh,social
I mean like what are you doing actually,spoken
The president held a press conference. quite,news
The president held a press conference. extremely,news
Corpus analysis reveals significant patterns.,academic
This is so bad ugh very,social
The methodology is based on linguistic theory.,academic
The government announced new policies today. honestly,news
So happy right now!!!,social
This study examines syntactic variation in English. actually,academic
This is so bad ugh,social
I can't believe this 😂 basically,social
You know it's kinda weird,spoken
Scientists discovered a new species. extremely,news
Global markets reacted to the news.,news
Well I don't really know seriously,spoken
It's like super confusing honestly,spoken
You know it's kinda weird very,spoken
The president held a press conference. really,news
The methodology is based on linguistic theory. basically,academic
I was just thinking about that actually,spoken
The economy is showing signs of recovery. honestly,news
This is so bad ugh,social
The economy is showing signs of recovery. very,news
This paper investigates discourse structures. quite,academic
This study examines syntactic variation in English. extremely,academic
I can't believe this 😂 basically,social
Global markets reacted to the news. very,news
OMG this is amazing!!! quite,social
The methodology is based on linguistic theory. actually,academic
This study examines syntactic variation in English.,academic
Corpus analysis reveals significant patterns. honestly,academic
Well I don't really know seriously,spoken
So happy right now!!! really,social
The president held a press conference. basically,news
So happy right now!!! seriously,social
This study examines syntactic variation in English. seriously,academic
Global markets reacted to the news. extremely,news
Well I don't really know honestly,spoken
I mean like what are you doing basically,spoken
Global markets reacted to the news. basically,news
You know it's kinda weird,spoken
The methodology is based on linguistic theory.,academic
This is so bad ugh honestly,social
Well I don't really know very,spoken
The government announced new policies today. extremely,news
The findings suggest a correlation between variables. really,academic
The methodology is based on linguistic theory. very,academic
The economy is showing signs of recovery. really,news
Global markets reacted to the news. basically,news
The president held a press conference. very,news
I mean like what are you doing quite,spoken
It's like super confusing honestly,spoken
This paper investigates discourse structures. seriously,academic
The government announced new policies today. quite,news
Corpus analysis reveals significant patterns. really,academic
Corpus analysis reveals significant patterns.,academic
This study examines syntactic variation in English. seriously,academic
Global markets reacted to the news. basically,news
Global markets reacted to the news. actually,news
The findings suggest a correlation between variables. honestly,academic
The economy is showing signs of recovery. actually,news
I was just thinking about that really,spoken
Well I don't really know very,spoken
Corpus analysis reveals significant patterns. actually,academic
I was just thinking about that quite,spoken
I mean like what are you doing honestly,spoken
OMG this is amazing!!! actually,social
Global markets reacted to the news. quite,news
OMG this is amazing!!!,social
You know it's kinda weird extremely,spoken
I was just thinking about that quite,spoken
This is literally the best thing ever basically,social
The president held a press conference. honestly,news
The economy is showing signs of recovery. really,news
You know it's kinda weird actually,spoken
I was just thinking about that very,spoken
The methodology is based on linguistic theory. quite,academic
So happy right now!!! actually,social
I was just thinking about that seriously,spoken
The government announced new policies today. actually,news
The findings suggest a correlation between variables. seriously,academic
Scientists discovered a new species. quite,news
You know it's kinda weird,spoken
I was just thinking about that honestly,spoken
The economy is showing signs of recovery. seriously,news
